,,,,mdd,start,end,AR,SD,SR
1 Fixed,35,58,1 Equal Weight,-0.3874437247943523,2039.0,2066.0,0.13725991846601807,0.16408060114329934,0.8365395879196134
1 Fixed,35,58,2 MVO,-0.24261401323247533,2024.0,2066.0,0.11420150734055806,0.12967107995086602,0.8807014438672865
1 Fixed,35,58,3 DRMVO_0.1,-0.24181500971614012,2024.0,2066.0,0.11527602776415921,0.12988314744683313,0.887536451265525
1 Fixed,35,58,3 DRMVO_0.25,-0.24248452581258506,2022.0,2066.0,0.11461315315791845,0.12985157907735445,0.8826473576393071
1 Fixed,35,58,3 DRMVO_0.5,-0.24608355705005147,2022.0,2066.0,0.11315734402505354,0.13000132445387272,0.8704322398284812
1 Fixed,35,58,3 DRMVO_1,-0.25984484144428244,2045.0,2066.0,0.10877287169017595,0.13114960286674318,0.8293801072405572
1 Fixed,35,58,3 DRMVO_1.5,-0.29472447422654213,2045.0,2066.0,0.0994505325924673,0.13508171058012827,0.7362250016331772
1 Fixed,44,47,1 Equal Weight,-0.38991110205633506,2039.0,2066.0,0.13509516447962278,0.1629989675357316,0.8288099398544232
1 Fixed,44,47,2 MVO,-0.3395946378855268,2045.0,2066.0,0.10941154967220525,0.13635417757372476,0.8024070227921546
1 Fixed,44,47,3 DRMVO_0.1,-0.33960792931539696,2045.0,2066.0,0.10789254967266379,0.13632684563836656,0.7914255564811478
1 Fixed,44,47,3 DRMVO_0.25,-0.33960717247307737,2045.0,2066.0,0.10782454473575893,0.136321088366908,0.7909601223660225
1 Fixed,44,47,3 DRMVO_0.5,-0.33960833722301187,2045.0,2066.0,0.10752252704719589,0.13641270103336323,0.7882149259759801
1 Fixed,44,47,3 DRMVO_1,-0.33960725531174274,2045.0,2066.0,0.10574917224075053,0.13655504633148782,0.7744069156114822
1 Fixed,44,47,3 DRMVO_1.5,-0.3319078060102221,2045.0,2066.0,0.10228238150792815,0.13647982373695472,0.749432250916903
1 Fixed,79,26,1 Equal Weight,-0.39475581078229016,2039.0,2066.0,0.13329924783866579,0.1636321501887881,0.8146274902876594
1 Fixed,79,26,2 MVO,-0.2083801627511045,2045.0,2066.0,0.12930380183599044,0.1196213198273463,1.080942778616882
1 Fixed,79,26,3 DRMVO_0.1,-0.20752610916137615,2045.0,2066.0,0.1287481647616682,0.11961940537138037,1.07631503736326
1 Fixed,79,26,3 DRMVO_0.25,-0.2040983402114661,2045.0,2066.0,0.12821730630399952,0.11942942563569325,1.0735822065753944
1 Fixed,79,26,3 DRMVO_0.5,-0.19414077384307415,2045.0,2066.0,0.12776016927341619,0.118839244323784,1.0750671632118987
1 Fixed,79,26,3 DRMVO_1,-0.17902712227633977,2045.0,2061.0,0.12559884430781565,0.11860386248117667,1.0589776899361025
1 Fixed,79,26,3 DRMVO_1.5,-0.17292791708876754,2045.0,2061.0,0.12561093692398817,0.11947896578805334,1.051322599718619
1 Fixed,296,7,1 Equal Weight,-0.38373333094495843,2043.0,2066.0,0.13675027542880613,0.16263493545840982,0.8408419448340292
1 Fixed,296,7,2 MVO,-0.3157331082060526,2042.0,2066.0,0.13795757518960602,0.14219155570976974,0.9702234039213568
1 Fixed,296,7,3 DRMVO_0.1,-0.31462937480264064,2042.0,2066.0,0.13916432177196697,0.142364745244883,0.9775195504518275
1 Fixed,296,7,3 DRMVO_0.25,-0.31495067800627596,2042.0,2066.0,0.1428591636956074,0.14292784888818308,0.9995194415006594
1 Fixed,296,7,3 DRMVO_0.5,-0.3180210642764475,2042.0,2066.0,0.14770094901159073,0.1442940688415663,1.0236106736567612
1 Fixed,296,7,3 DRMVO_1,-0.3216373679668736,2042.0,2066.0,0.15635506876703287,0.14720555617306783,1.0621546688306254
1 Fixed,296,7,3 DRMVO_1.5,-0.3289570374640912,2042.0,2066.0,0.15938096789584463,0.1513660350989226,1.0529506688319081
2 Variable1000.0_30_0.05,35,58,1 Equal Weight,-0.3924543011502979,2039.0,2066.0,0.1348813945352115,0.16303947536739838,0.8272928640825509
2 Variable1000.0_30_0.05,35,58,2 MVO,-0.1707948401401831,2045.0,2063.0,0.14023952967563666,0.12699256934686978,1.1043128774927287
2 Variable1000.0_30_0.05,35,58,3 DRMVO_0.1,-0.16880487296198987,2045.0,2063.0,0.14040300658168006,0.12670967057893726,1.1080685944504305
2 Variable1000.0_30_0.05,35,58,3 DRMVO_0.25,-0.16562309798801333,2045.0,2063.0,0.14039522659315865,0.1262789610311905,1.1117863612964116
2 Variable1000.0_30_0.05,35,58,3 DRMVO_0.5,-0.16284572799710006,2045.0,2063.0,0.14070442205289221,0.12573450820613957,1.1190597081129845
2 Variable1000.0_30_0.05,35,58,3 DRMVO_1,-0.15802938447085402,2045.0,2063.0,0.1425634669699224,0.1252164278794037,1.1385364475276811
2 Variable1000.0_30_0.05,35,58,3 DRMVO_1.5,-0.1585127203605715,2045.0,2061.0,0.14309001989156592,0.1254879234702447,1.1402692461119175
2 Variable1000.0_60_0.075,79,26,1 Equal Weight,-0.39117045064821,2039.0,2066.0,0.13549206455110469,0.16328464253950184,0.8297906186635184
2 Variable1000.0_60_0.075,79,26,2 MVO,-0.29035642605520684,2045.0,2066.0,0.11699719382122763,0.1327626507387851,0.8812508124097602
2 Variable1000.0_60_0.075,79,26,3 DRMVO_0.1,-0.2916213498884138,2045.0,2066.0,0.1159197237433085,0.13307358714397247,0.871094904940789
2 Variable1000.0_60_0.075,79,26,3 DRMVO_0.25,-0.29162154038985333,2045.0,2066.0,0.1150412654140955,0.13310618223497547,0.8642819099943115
2 Variable1000.0_60_0.075,79,26,3 DRMVO_0.5,-0.29162147702640095,2045.0,2066.0,0.11340360836306444,0.13316764314961127,0.851585307668603
2 Variable1000.0_60_0.075,79,26,3 DRMVO_1,-0.2904522097308211,2045.0,2066.0,0.10891266486934398,0.13348427428378584,0.8159213169769876
2 Variable1000.0_60_0.075,79,26,3 DRMVO_1.5,-0.27613047549737857,2045.0,2066.0,0.10782601065371238,0.1334914702787434,0.8077370818417162
2 Variable10000.0_30_0.1,44,47,1 Equal Weight,-0.39151836127548656,2039.0,2066.0,0.13492521807789812,0.1629518374320694,0.8280067301121726
2 Variable10000.0_30_0.1,44,47,2 MVO,-0.21302797881520796,2022.0,2063.0,0.1586539762585569,0.1285472950777084,1.2342070376716106
2 Variable10000.0_30_0.1,44,47,3 DRMVO_0.1,-0.2101293021655628,2045.0,2063.0,0.1626861465390784,0.12902292398071585,1.260908848751513
2 Variable10000.0_30_0.1,44,47,3 DRMVO_0.25,-0.21012401096312827,2045.0,2063.0,0.16242639614188006,0.12900530413824696,1.259067580413731
2 Variable10000.0_30_0.1,44,47,3 DRMVO_0.5,-0.21645425454366307,2045.0,2063.0,0.16017225465636242,0.12928920910027097,1.2388679285070103
2 Variable10000.0_30_0.1,44,47,3 DRMVO_1,-0.22785173067186637,2045.0,2063.0,0.15702932309884082,0.1305591811234605,1.2027443933670923
2 Variable10000.0_30_0.1,44,47,3 DRMVO_1.5,-0.2586948601825866,2045.0,2066.0,0.1539980721982255,0.1335238104829199,1.1533379076080565
2 Variable10000.0_60_1.0,296,7,1 Equal Weight,-0.3839044365503391,2043.0,2066.0,0.13627181657981932,0.1615551053050256,0.8435005277148628
2 Variable10000.0_60_1.0,296,7,2 MVO,-0.3366793076514739,2042.0,2066.0,0.15039823177588532,0.152106622978848,0.9887684627433991
2 Variable10000.0_60_1.0,296,7,3 DRMVO_0.1,-0.3366793221180502,2042.0,2066.0,0.15043066530031637,0.1522131263946528,0.9882897018374427
2 Variable10000.0_60_1.0,296,7,3 DRMVO_0.25,-0.3366794317799936,2042.0,2066.0,0.15056477762822693,0.15228114813393565,0.9887289363999336
2 Variable10000.0_60_1.0,296,7,3 DRMVO_0.5,-0.3366795373945638,2042.0,2066.0,0.15028272445558485,0.1523350452217755,0.9865275861952659
2 Variable10000.0_60_1.0,296,7,3 DRMVO_1,-0.33667933066239353,2042.0,2066.0,0.14785856752633486,0.1520939798167984,0.9721526631391643
2 Variable10000.0_60_1.0,296,7,3 DRMVO_1.5,-0.33621179235089815,2042.0,2066.0,0.1442785907788283,0.15201411561980002,0.9491131148615243
